Provincias;Grupo penal;periodo;Total
Alicante/Alacant;FALSIFICACIÓN INFORMÁTICA;2023;763
Alicante/Alacant;FALSIFICACIÓN INFORMÁTICA;2022;628
Alicante/Alacant;FRAUDE INFORMÁTICO;2024;15484
Alicante/Alacant;FRAUDE INFORMÁTICO;2023;15789
Alicante/Alacant;FRAUDE INFORMÁTICO;2022;11280
Alicante/Alacant;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;46
Alicante/Alacant;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;52
Alicante/Alacant;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;109
Alicante/Alacant;TOTAL grupo penal;2024;17913
Alicante/Alacant;TOTAL grupo penal;2023;17910
Alicante/Alacant;TOTAL grupo penal;2022;13075
Almería;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;140
Almería;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;87
Almería;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;39
Almería;AMENAZAS Y COACCIONES;2024;284
Almería;AMENAZAS Y COACCIONES;2023;243
Almería;AMENAZAS Y COACCIONES;2022;207
Almería;CONTRA EL HONOR;2024;19
Almería;CONTRA EL HONOR;2023;8
Almería;CONTRA EL HONOR;2022;11
Almería;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;3
Almería;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;1
Almería;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Almería;DELITOS SEXUALES;2024;25
Almería;DELITOS SEXUALES;2023;51
Almería;DELITOS SEXUALES;2022;48
Almería;FALSIFICACIÓN INFORMÁTICA;2024;214
Almería;FALSIFICACIÓN INFORMÁTICA;2023;155
Almería;FALSIFICACIÓN INFORMÁTICA;2022;127
Almería;FRAUDE INFORMÁTICO;2024;5226
Almería;FRAUDE INFORMÁTICO;2023;4414
Almería;FRAUDE INFORMÁTICO;2022;3041
Almería;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;13
Almería;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;18
Almería;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;10
Almería;TOTAL grupo penal;2024;5924
Almería;TOTAL grupo penal;2023;4977
Almería;TOTAL grupo penal;2022;3483
Ávila;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;16
Ávila;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;10
Ávila;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;7
Ávila;AMENAZAS Y COACCIONES;2024;45
Ávila;AMENAZAS Y COACCIONES;2023;49
Ávila;AMENAZAS Y COACCIONES;2022;48
Ávila;CONTRA EL HONOR;2024;8
Ávila;CONTRA EL HONOR;2023;7
Ávila;CONTRA EL HONOR;2022;4
Ávila;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;0
Ávila;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Ávila;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Ávila;DELITOS SEXUALES;2024;5
Ávila;DELITOS SEXUALES;2023;5
Ávila;DELITOS SEXUALES;2022;8
Ávila;FALSIFICACIÓN INFORMÁTICA;2024;72
Ávila;FALSIFICACIÓN INFORMÁTICA;2023;80
Ávila;FALSIFICACIÓN INFORMÁTICA;2022;54
Ávila;FRAUDE INFORMÁTICO;2024;1626
Ávila;FRAUDE INFORMÁTICO;2023;1684
Ávila;FRAUDE INFORMÁTICO;2022;1094
Ávila;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;3
Ávila;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;4
Ávila;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;3
Ávila;TOTAL grupo penal;2024;1775
Ávila;TOTAL grupo penal;2023;1839
Ávila;TOTAL grupo penal;2022;1218
Badajoz;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;150
Badajoz;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;138
Badajoz;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;73
Badajoz;AMENAZAS Y COACCIONES;2024;360
Badajoz;AMENAZAS Y COACCIONES;2023;312
Badajoz;AMENAZAS Y COACCIONES;2022;249
Badajoz;CONTRA EL HONOR;2024;41
Badajoz;CONTRA EL HONOR;2023;32
Badajoz;CONTRA EL HONOR;2022;19
Badajoz;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;1
Badajoz;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;3
Badajoz;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;2
Badajoz;DELITOS SEXUALES;2024;26
Badajoz;DELITOS SEXUALES;2023;31
Badajoz;DELITOS SEXUALES;2022;21
Badajoz;FALSIFICACIÓN INFORMÁTICA;2024;500
Badajoz;FALSIFICACIÓN INFORMÁTICA;2023;338
Badajoz;FALSIFICACIÓN INFORMÁTICA;2022;280
Badajoz;FRAUDE INFORMÁTICO;2024;4669
Badajoz;FRAUDE INFORMÁTICO;2023;4809
Badajoz;FRAUDE INFORMÁTICO;2022;4423
Badajoz;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;17
Badajoz;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;20
Badajoz;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;20
Badajoz;TOTAL grupo penal;2024;5764
Badajoz;TOTAL grupo penal;2023;5683
Badajoz;TOTAL grupo penal;2022;5087
Balears (Illes);ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;246
Balears (Illes);ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;215
Balears (Illes);ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;240
Balears (Illes);AMENAZAS Y COACCIONES;2024;659
Balears (Illes);AMENAZAS Y COACCIONES;2023;573
Balears (Illes);AMENAZAS Y COACCIONES;2022;567
Balears (Illes);CONTRA EL HONOR;2024;25
Balears (Illes);CONTRA EL HONOR;2023;28
Balears (Illes);CONTRA EL HONOR;2022;29
Balears (Illes);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;1
Balears (Illes);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;4
Balears (Illes);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;1
Balears (Illes);DELITOS SEXUALES;2024;57
Balears (Illes);DELITOS SEXUALES;2023;60
Balears (Illes);DELITOS SEXUALES;2022;60
Balears (Illes);FALSIFICACIÓN INFORMÁTICA;2024;433
Balears (Illes);FALSIFICACIÓN INFORMÁTICA;2023;258
Balears (Illes);FALSIFICACIÓN INFORMÁTICA;2022;313
Balears (Illes);FRAUDE INFORMÁTICO;2024;11491
Balears (Illes);FRAUDE INFORMÁTICO;2023;10299
Balears (Illes);FRAUDE INFORMÁTICO;2022;7452
Balears (Illes);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;41
Balears (Illes);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;48
Balears (Illes);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;39
Balears (Illes);TOTAL grupo penal;2024;12953
Balears (Illes);TOTAL grupo penal;2023;11485
Balears (Illes);TOTAL grupo penal;2022;8701
Barcelona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;567
Barcelona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;541
Barcelona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;513
Barcelona;AMENAZAS Y COACCIONES;2024;636
Barcelona;AMENAZAS Y COACCIONES;2023;476
Barcelona;AMENAZAS Y COACCIONES;2022;495
Barcelona;CONTRA EL HONOR;2024;14
Barcelona;CONTRA EL HONOR;2023;8
Barcelona;CONTRA EL HONOR;2022;9
Barcelona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;22
Barcelona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;7
Barcelona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;9
Barcelona;DELITOS SEXUALES;2024;142
Barcelona;DELITOS SEXUALES;2023;108
Barcelona;DELITOS SEXUALES;2022;143
Barcelona;FALSIFICACIÓN INFORMÁTICA;2024;1195
Barcelona;FALSIFICACIÓN INFORMÁTICA;2023;254
Barcelona;FALSIFICACIÓN INFORMÁTICA;2022;252
Barcelona;FRAUDE INFORMÁTICO;2024;53332
Barcelona;FRAUDE INFORMÁTICO;2023;53494
Barcelona;FRAUDE INFORMÁTICO;2022;45021
Barcelona;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;57
Barcelona;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;71
Barcelona;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;71
Barcelona;TOTAL grupo penal;2024;55965
Barcelona;TOTAL grupo penal;2023;54959
Barcelona;TOTAL grupo penal;2022;46513
Burgos;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;62
Burgos;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;38
Burgos;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;34
Burgos;AMENAZAS Y COACCIONES;2024;134
Burgos;AMENAZAS Y COACCIONES;2023;128
Burgos;AMENAZAS Y COACCIONES;2022;139
Burgos;CONTRA EL HONOR;2024;3
Burgos;CONTRA EL HONOR;2023;4
Burgos;CONTRA EL HONOR;2022;6
Burgos;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;0
Burgos;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;1
Burgos;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Burgos;DELITOS SEXUALES;2024;12
Burgos;DELITOS SEXUALES;2023;7
Burgos;DELITOS SEXUALES;2022;7
Burgos;FALSIFICACIÓN INFORMÁTICA;2024;129
Burgos;FALSIFICACIÓN INFORMÁTICA;2023;156
Burgos;FALSIFICACIÓN INFORMÁTICA;2022;115
Burgos;FRAUDE INFORMÁTICO;2024;3000
Burgos;FRAUDE INFORMÁTICO;2023;3205
Burgos;FRAUDE INFORMÁTICO;2022;2505
Burgos;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;15
Burgos;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;21
Burgos;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;16
Burgos;TOTAL grupo penal;2024;3355
Burgos;TOTAL grupo penal;2023;3560
Burgos;TOTAL grupo penal;2022;2822
Cáceres;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;83
Cáceres;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;41
Cáceres;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;41
Cáceres;AMENAZAS Y COACCIONES;2024;158
Cáceres;AMENAZAS Y COACCIONES;2023;132
Cáceres;AMENAZAS Y COACCIONES;2022;111
Cáceres;CONTRA EL HONOR;2024;30
Cáceres;CONTRA EL HONOR;2023;13
Cáceres;CONTRA EL HONOR;2022;24
Cáceres;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;1
Cáceres;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Cáceres;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Cáceres;DELITOS SEXUALES;2024;10
Cáceres;DELITOS SEXUALES;2023;18
Cáceres;DELITOS SEXUALES;2022;14
Cáceres;FALSIFICACIÓN INFORMÁTICA;2024;427
Cáceres;FALSIFICACIÓN INFORMÁTICA;2023;272
Cáceres;FALSIFICACIÓN INFORMÁTICA;2022;92
Cáceres;FRAUDE INFORMÁTICO;2024;2381
Cáceres;FRAUDE INFORMÁTICO;2023;2640
Cáceres;FRAUDE INFORMÁTICO;2022;2154
Cáceres;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;3
Cáceres;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;20
Cáceres;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;5
Cáceres;TOTAL grupo penal;2024;3093
Cáceres;TOTAL grupo penal;2023;3136
Cáceres;TOTAL grupo penal;2022;2441
Cádiz;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;368
Cádiz;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;251
Cádiz;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;169
Cádiz;AMENAZAS Y COACCIONES;2024;621
Cádiz;AMENAZAS Y COACCIONES;2023;545
Cádiz;AMENAZAS Y COACCIONES;2022;482
Cádiz;CONTRA EL HONOR;2024;58
Cádiz;CONTRA EL HONOR;2023;55
Cádiz;CONTRA EL HONOR;2022;58
Cádiz;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;4
Cádiz;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;2
Cádiz;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;3
Cádiz;DELITOS SEXUALES;2024;48
Cádiz;DELITOS SEXUALES;2023;71
Cádiz;DELITOS SEXUALES;2022;66
Cádiz;FALSIFICACIÓN INFORMÁTICA;2024;678
Cádiz;FALSIFICACIÓN INFORMÁTICA;2023;531
Cádiz;FALSIFICACIÓN INFORMÁTICA;2022;509
Cádiz;FRAUDE INFORMÁTICO;2024;10821
Cádiz;FRAUDE INFORMÁTICO;2023;11370
Cádiz;FRAUDE INFORMÁTICO;2022;8982
Cádiz;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;40
Cádiz;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;46
Cádiz;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;37
Cádiz;TOTAL grupo penal;2024;12638
Cádiz;TOTAL grupo penal;2023;12871
Cádiz;TOTAL grupo penal;2022;10306
Castellón/Castelló;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;117
Castellón/Castelló;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;69
Castellón/Castelló;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;51
Castellón/Castelló;AMENAZAS Y COACCIONES;2024;190
Castellón/Castelló;AMENAZAS Y COACCIONES;2023;162
Castellón/Castelló;AMENAZAS Y COACCIONES;2022;208
Castellón/Castelló;CONTRA EL HONOR;2024;7
Castellón/Castelló;CONTRA EL HONOR;2023;14
Castellón/Castelló;CONTRA EL HONOR;2022;15
Castellón/Castelló;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;1
Castellón/Castelló;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Castellón/Castelló;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Castellón/Castelló;DELITOS SEXUALES;2024;12
Castellón/Castelló;DELITOS SEXUALES;2023;25
Castellón/Castelló;DELITOS SEXUALES;2022;26
Castellón/Castelló;FALSIFICACIÓN INFORMÁTICA;2024;212
Castellón/Castelló;FALSIFICACIÓN INFORMÁTICA;2023;121
Castellón/Castelló;FALSIFICACIÓN INFORMÁTICA;2022;127
Castellón/Castelló;FRAUDE INFORMÁTICO;2024;3782
Castellón/Castelló;FRAUDE INFORMÁTICO;2023;3557
Castellón/Castelló;FRAUDE INFORMÁTICO;2022;2137
Castellón/Castelló;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;12
Castellón/Castelló;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;10
Castellón/Castelló;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;12
Castellón/Castelló;TOTAL grupo penal;2024;4333
Castellón/Castelló;TOTAL grupo penal;2023;3958
Castellón/Castelló;TOTAL grupo penal;2022;2576
Ciudad Real;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;29
Ciudad Real;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;49
Ciudad Real;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;42
Ciudad Real;AMENAZAS Y COACCIONES;2024;124
Ciudad Real;AMENAZAS Y COACCIONES;2023;132
Ciudad Real;AMENAZAS Y COACCIONES;2022;150
Ciudad Real;CONTRA EL HONOR;2024;10
Ciudad Real;CONTRA EL HONOR;2023;19
Ciudad Real;CONTRA EL HONOR;2022;23
Ciudad Real;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;0
Ciudad Real;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;1
Ciudad Real;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Ciudad Real;DELITOS SEXUALES;2024;4
Ciudad Real;DELITOS SEXUALES;2023;14
Ciudad Real;DELITOS SEXUALES;2022;13
Ciudad Real;FALSIFICACIÓN INFORMÁTICA;2024;152
Ciudad Real;FALSIFICACIÓN INFORMÁTICA;2023;128
Ciudad Real;FALSIFICACIÓN INFORMÁTICA;2022;126
Ciudad Real;FRAUDE INFORMÁTICO;2024;3047
Ciudad Real;FRAUDE INFORMÁTICO;2023;3190
Ciudad Real;FRAUDE INFORMÁTICO;2022;2880
Ciudad Real;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;15
Ciudad Real;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;9
Ciudad Real;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;9
Ciudad Real;TOTAL grupo penal;2024;3381
Ciudad Real;TOTAL grupo penal;2023;3542
Ciudad Real;TOTAL grupo penal;2022;3243
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;225
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;169
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;101
Córdoba;AMENAZAS Y COACCIONES;2024;274
Córdoba;AMENAZAS Y COACCIONES;2023;299
Córdoba;AMENAZAS Y COACCIONES;2022;299
Córdoba;CONTRA EL HONOR;2024;20
Córdoba;CONTRA EL HONOR;2023;39
Córdoba;CONTRA EL HONOR;2022;42
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;3
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;4
Córdoba;DELITOS SEXUALES;2024;26
Córdoba;DELITOS SEXUALES;2023;28
Córdoba;DELITOS SEXUALES;2022;29
Córdoba;FALSIFICACIÓN INFORMÁTICA;2024;401
Córdoba;FALSIFICACIÓN INFORMÁTICA;2023;383
Córdoba;FALSIFICACIÓN INFORMÁTICA;2022;275
Córdoba;FRAUDE INFORMÁTICO;2024;6462
Córdoba;FRAUDE INFORMÁTICO;2023;6732
Córdoba;FRAUDE INFORMÁTICO;2022;4632
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;34
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;20
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;32
Córdoba;TOTAL grupo penal;2024;7445
Córdoba;TOTAL grupo penal;2023;7670
Córdoba;TOTAL grupo penal;2022;5414
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;318
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;199
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;155
Coruña (A);AMENAZAS Y COACCIONES;2024;495
Coruña (A);AMENAZAS Y COACCIONES;2023;470
Coruña (A);AMENAZAS Y COACCIONES;2022;475
Coruña (A);CONTRA EL HONOR;2024;66
Coruña (A);CONTRA EL HONOR;2023;64
Coruña (A);CONTRA EL HONOR;2022;46
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;3
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;3
Coruña (A);DELITOS SEXUALES;2024;39
Coruña (A);DELITOS SEXUALES;2023;48
Coruña (A);DELITOS SEXUALES;2022;29
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2024;559
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2023;438
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2022;259
Coruña (A);FRAUDE INFORMÁTICO;2024;8452
Coruña (A);FRAUDE INFORMÁTICO;2023;7639
Coruña (A);FRAUDE INFORMÁTICO;2022;7434
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;45
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;46
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;36
Coruña (A);TOTAL grupo penal;2024;9977
Coruña (A);TOTAL grupo penal;2023;8904
Coruña (A);TOTAL grupo penal;2022;8437
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;14
