Provincias;Grupo penal;periodo;Total
Ciudad Real;TOTAL grupo penal;2016;627
Ciudad Real;TOTAL grupo penal;2015;706
Ciudad Real;TOTAL grupo penal;2014;601
Ciudad Real;TOTAL grupo penal;2013;484
Ciudad Real;TOTAL grupo penal;2012;505
Ciudad Real;TOTAL grupo penal;2011;421
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;225
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;169
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;101
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;137
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;143
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;80
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;82
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;73
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;53
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;63
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;37
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;25
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;18
Córdoba;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;34
Córdoba;AMENAZAS Y COACCIONES;2024;274
Córdoba;AMENAZAS Y COACCIONES;2023;299
Córdoba;AMENAZAS Y COACCIONES;2022;299
Córdoba;AMENAZAS Y COACCIONES;2021;306
Córdoba;AMENAZAS Y COACCIONES;2020;286
Córdoba;AMENAZAS Y COACCIONES;2019;263
Córdoba;AMENAZAS Y COACCIONES;2018;240
Córdoba;AMENAZAS Y COACCIONES;2017;248
Córdoba;AMENAZAS Y COACCIONES;2016;234
Córdoba;AMENAZAS Y COACCIONES;2015;237
Córdoba;AMENAZAS Y COACCIONES;2014;257
Córdoba;AMENAZAS Y COACCIONES;2013;213
Córdoba;AMENAZAS Y COACCIONES;2012;248
Córdoba;AMENAZAS Y COACCIONES;2011;259
Córdoba;CONTRA EL HONOR;2024;20
Córdoba;CONTRA EL HONOR;2023;39
Córdoba;CONTRA EL HONOR;2022;42
Córdoba;CONTRA EL HONOR;2021;44
Córdoba;CONTRA EL HONOR;2020;33
Córdoba;CONTRA EL HONOR;2019;30
Córdoba;CONTRA EL HONOR;2018;38
Córdoba;CONTRA EL HONOR;2017;36
Córdoba;CONTRA EL HONOR;2016;24
Córdoba;CONTRA EL HONOR;2015;59
Córdoba;CONTRA EL HONOR;2014;53
Córdoba;CONTRA EL HONOR;2013;49
Córdoba;CONTRA EL HONOR;2012;33
Córdoba;CONTRA EL HONOR;2011;65
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;3
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;4
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;6
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;2
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;2
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;6
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;1
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;4
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;1
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;3
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;0
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;2
Córdoba;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;1
Córdoba;DELITOS SEXUALES;2024;26
Córdoba;DELITOS SEXUALES;2023;28
Córdoba;DELITOS SEXUALES;2022;29
Córdoba;DELITOS SEXUALES;2021;21
Córdoba;DELITOS SEXUALES;2020;46
Córdoba;DELITOS SEXUALES;2019;32
Córdoba;DELITOS SEXUALES;2018;30
Córdoba;DELITOS SEXUALES;2017;27
Córdoba;DELITOS SEXUALES;2016;19
Córdoba;DELITOS SEXUALES;2015;21
Córdoba;DELITOS SEXUALES;2014;20
Córdoba;DELITOS SEXUALES;2013;13
Córdoba;DELITOS SEXUALES;2012;8
Córdoba;DELITOS SEXUALES;2011;13
Córdoba;FALSIFICACIÓN INFORMÁTICA;2024;401
Córdoba;FALSIFICACIÓN INFORMÁTICA;2023;383
Córdoba;FALSIFICACIÓN INFORMÁTICA;2022;275
Córdoba;FALSIFICACIÓN INFORMÁTICA;2021;230
Córdoba;FALSIFICACIÓN INFORMÁTICA;2020;79
Córdoba;FALSIFICACIÓN INFORMÁTICA;2019;79
Córdoba;FALSIFICACIÓN INFORMÁTICA;2018;81
Córdoba;FALSIFICACIÓN INFORMÁTICA;2017;48
Córdoba;FALSIFICACIÓN INFORMÁTICA;2016;37
Córdoba;FALSIFICACIÓN INFORMÁTICA;2015;36
Córdoba;FALSIFICACIÓN INFORMÁTICA;2014;28
Córdoba;FALSIFICACIÓN INFORMÁTICA;2013;10
Córdoba;FALSIFICACIÓN INFORMÁTICA;2012;8
Córdoba;FALSIFICACIÓN INFORMÁTICA;2011;12
Córdoba;FRAUDE INFORMÁTICO;2024;6.462
Córdoba;FRAUDE INFORMÁTICO;2023;6.732
Córdoba;FRAUDE INFORMÁTICO;2022;4.632
Córdoba;FRAUDE INFORMÁTICO;2021;3.172
Córdoba;FRAUDE INFORMÁTICO;2020;2.886
Córdoba;FRAUDE INFORMÁTICO;2019;1.656
Córdoba;FRAUDE INFORMÁTICO;2018;1.566
Córdoba;FRAUDE INFORMÁTICO;2017;1.196
Córdoba;FRAUDE INFORMÁTICO;2016;944
Córdoba;FRAUDE INFORMÁTICO;2015;797
Córdoba;FRAUDE INFORMÁTICO;2014;610
Córdoba;FRAUDE INFORMÁTICO;2013;460
Córdoba;FRAUDE INFORMÁTICO;2012;391
Córdoba;FRAUDE INFORMÁTICO;2011;367
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;34
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;20
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;32
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;37
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;15
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;38
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;25
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;27
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;20
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;19
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;9
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;2
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;5
Córdoba;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;1
Córdoba;TOTAL grupo penal;2024;7.445
Córdoba;TOTAL grupo penal;2023;7.670
Córdoba;TOTAL grupo penal;2022;5.414
Córdoba;TOTAL grupo penal;2021;3.953
Córdoba;TOTAL grupo penal;2020;3.490
Córdoba;TOTAL grupo penal;2019;2.180
Córdoba;TOTAL grupo penal;2018;2.068
Córdoba;TOTAL grupo penal;2017;1.656
Córdoba;TOTAL grupo penal;2016;1.335
Córdoba;TOTAL grupo penal;2015;1.233
Córdoba;TOTAL grupo penal;2014;1.017
Córdoba;TOTAL grupo penal;2013;772
Córdoba;TOTAL grupo penal;2012;713
Córdoba;TOTAL grupo penal;2011;752
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;318
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;199
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;155
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;139
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;111
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;81
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;79
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;86
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;67
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;59
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;56
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;48
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;43
Coruña (A);ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;36
Coruña (A);AMENAZAS Y COACCIONES;2024;495
Coruña (A);AMENAZAS Y COACCIONES;2023;470
Coruña (A);AMENAZAS Y COACCIONES;2022;475
Coruña (A);AMENAZAS Y COACCIONES;2021;560
Coruña (A);AMENAZAS Y COACCIONES;2020;409
Coruña (A);AMENAZAS Y COACCIONES;2019;334
Coruña (A);AMENAZAS Y COACCIONES;2018;432
Coruña (A);AMENAZAS Y COACCIONES;2017;408
Coruña (A);AMENAZAS Y COACCIONES;2016;380
Coruña (A);AMENAZAS Y COACCIONES;2015;338
Coruña (A);AMENAZAS Y COACCIONES;2014;314
Coruña (A);AMENAZAS Y COACCIONES;2013;308
Coruña (A);AMENAZAS Y COACCIONES;2012;340
Coruña (A);AMENAZAS Y COACCIONES;2011;295
Coruña (A);CONTRA EL HONOR;2024;66
Coruña (A);CONTRA EL HONOR;2023;64
Coruña (A);CONTRA EL HONOR;2022;46
Coruña (A);CONTRA EL HONOR;2021;56
Coruña (A);CONTRA EL HONOR;2020;72
Coruña (A);CONTRA EL HONOR;2019;49
Coruña (A);CONTRA EL HONOR;2018;66
Coruña (A);CONTRA EL HONOR;2017;63
Coruña (A);CONTRA EL HONOR;2016;48
Coruña (A);CONTRA EL HONOR;2015;87
Coruña (A);CONTRA EL HONOR;2014;74
Coruña (A);CONTRA EL HONOR;2013;45
Coruña (A);CONTRA EL HONOR;2012;63
Coruña (A);CONTRA EL HONOR;2011;64
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;3
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;3
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;6
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;3
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;4
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;6
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;3
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;2
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;7
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;3
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;3
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;2
Coruña (A);CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;2
Coruña (A);DELITOS SEXUALES;2024;39
Coruña (A);DELITOS SEXUALES;2023;48
Coruña (A);DELITOS SEXUALES;2022;29
Coruña (A);DELITOS SEXUALES;2021;42
Coruña (A);DELITOS SEXUALES;2020;36
Coruña (A);DELITOS SEXUALES;2019;43
Coruña (A);DELITOS SEXUALES;2018;40
Coruña (A);DELITOS SEXUALES;2017;29
Coruña (A);DELITOS SEXUALES;2016;40
Coruña (A);DELITOS SEXUALES;2015;28
Coruña (A);DELITOS SEXUALES;2014;19
Coruña (A);DELITOS SEXUALES;2013;23
Coruña (A);DELITOS SEXUALES;2012;15
Coruña (A);DELITOS SEXUALES;2011;17
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2024;559
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2023;438
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2022;259
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2021;247
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2020;177
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2019;130
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2018;105
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2017;106
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2016;77
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2015;58
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2014;50
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2013;36
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2012;47
Coruña (A);FALSIFICACIÓN INFORMÁTICA;2011;46
Coruña (A);FRAUDE INFORMÁTICO;2024;8.452
Coruña (A);FRAUDE INFORMÁTICO;2023;7.639
Coruña (A);FRAUDE INFORMÁTICO;2022;7.434
Coruña (A);FRAUDE INFORMÁTICO;2021;7.768
Coruña (A);FRAUDE INFORMÁTICO;2020;5.443
Coruña (A);FRAUDE INFORMÁTICO;2019;4.931
Coruña (A);FRAUDE INFORMÁTICO;2018;4.055
Coruña (A);FRAUDE INFORMÁTICO;2017;2.795
Coruña (A);FRAUDE INFORMÁTICO;2016;1.718
Coruña (A);FRAUDE INFORMÁTICO;2015;1.456
Coruña (A);FRAUDE INFORMÁTICO;2014;922
Coruña (A);FRAUDE INFORMÁTICO;2013;710
Coruña (A);FRAUDE INFORMÁTICO;2012;726
Coruña (A);FRAUDE INFORMÁTICO;2011;504
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;45
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;46
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;36
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;70
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;53
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;45
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;41
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;31
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;41
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;36
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;13
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;11
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;5
Coruña (A);INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;2
Coruña (A);TOTAL grupo penal;2024;9.977
Coruña (A);TOTAL grupo penal;2023;8.904
Coruña (A);TOTAL grupo penal;2022;8.437
Coruña (A);TOTAL grupo penal;2021;8.888
Coruña (A);TOTAL grupo penal;2020;6.304
Coruña (A);TOTAL grupo penal;2019;5.617
Coruña (A);TOTAL grupo penal;2018;4.824
Coruña (A);TOTAL grupo penal;2017;3.521
Coruña (A);TOTAL grupo penal;2016;2.373
Coruña (A);TOTAL grupo penal;2015;2.069
Coruña (A);TOTAL grupo penal;2014;1.451
Coruña (A);TOTAL grupo penal;2013;1.184
Coruña (A);TOTAL grupo penal;2012;1.241
Coruña (A);TOTAL grupo penal;2011;966
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;14
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;19
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;12
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;9
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;15
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;8
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;10
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;6
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;9
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;6
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;6
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;4
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;5
Cuenca;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;2
Cuenca;AMENAZAS Y COACCIONES;2024;63
Cuenca;AMENAZAS Y COACCIONES;2023;45
Cuenca;AMENAZAS Y COACCIONES;2022;63
Cuenca;AMENAZAS Y COACCIONES;2021;94
Cuenca;AMENAZAS Y COACCIONES;2020;72
Cuenca;AMENAZAS Y COACCIONES;2019;56
Cuenca;AMENAZAS Y COACCIONES;2018;74
Cuenca;AMENAZAS Y COACCIONES;2017;60
Cuenca;AMENAZAS Y COACCIONES;2016;57
Cuenca;AMENAZAS Y COACCIONES;2015;58
Cuenca;AMENAZAS Y COACCIONES;2014;54
Cuenca;AMENAZAS Y COACCIONES;2013;49
Cuenca;AMENAZAS Y COACCIONES;2012;42
Cuenca;AMENAZAS Y COACCIONES;2011;34
Cuenca;CONTRA EL HONOR;2024;7
Cuenca;CONTRA EL HONOR;2023;20
Cuenca;CONTRA EL HONOR;2022;9
Cuenca;CONTRA EL HONOR;2021;8
Cuenca;CONTRA EL HONOR;2020;22
Cuenca;CONTRA EL HONOR;2019;12
Cuenca;CONTRA EL HONOR;2018;17
Cuenca;CONTRA EL HONOR;2017;19
Cuenca;CONTRA EL HONOR;2016;17
Cuenca;CONTRA EL HONOR;2015;28
Cuenca;CONTRA EL HONOR;2014;16
Cuenca;CONTRA EL HONOR;2013;14
Cuenca;CONTRA EL HONOR;2012;15
Cuenca;CONTRA EL HONOR;2011;8
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;0
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;0
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;1
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;1
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;1
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;5
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;0
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;1
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;0
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;0
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;0
Cuenca;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;2
Cuenca;DELITOS SEXUALES;2024;7
Cuenca;DELITOS SEXUALES;2023;6
Cuenca;DELITOS SEXUALES;2022;3
Cuenca;DELITOS SEXUALES;2021;7
Cuenca;DELITOS SEXUALES;2020;6
Cuenca;DELITOS SEXUALES;2019;11
Cuenca;DELITOS SEXUALES;2018;0
Cuenca;DELITOS SEXUALES;2017;5
Cuenca;DELITOS SEXUALES;2016;2
Cuenca;DELITOS SEXUALES;2015;4
Cuenca;DELITOS SEXUALES;2014;2
Cuenca;DELITOS SEXUALES;2013;2
Cuenca;DELITOS SEXUALES;2012;5
Cuenca;DELITOS SEXUALES;2011;2
Cuenca;FALSIFICACIÓN INFORMÁTICA;2024;83
Cuenca;FALSIFICACIÓN INFORMÁTICA;2023;68
Cuenca;FALSIFICACIÓN INFORMÁTICA;2022;67
Cuenca;FALSIFICACIÓN INFORMÁTICA;2021;48
Cuenca;FALSIFICACIÓN INFORMÁTICA;2020;54
Cuenca;FALSIFICACIÓN INFORMÁTICA;2019;34
Cuenca;FALSIFICACIÓN INFORMÁTICA;2018;22
Cuenca;FALSIFICACIÓN INFORMÁTICA;2017;22
Cuenca;FALSIFICACIÓN INFORMÁTICA;2016;13
Cuenca;FALSIFICACIÓN INFORMÁTICA;2015;14
Cuenca;FALSIFICACIÓN INFORMÁTICA;2014;19
Cuenca;FALSIFICACIÓN INFORMÁTICA;2013;9
Cuenca;FALSIFICACIÓN INFORMÁTICA;2012;9
Cuenca;FALSIFICACIÓN INFORMÁTICA;2011;5
Cuenca;FRAUDE INFORMÁTICO;2024;1.308
Cuenca;FRAUDE INFORMÁTICO;2023;1.536
Cuenca;FRAUDE INFORMÁTICO;2022;1.411
Cuenca;FRAUDE INFORMÁTICO;2021;1.157
Cuenca;FRAUDE INFORMÁTICO;2020;1.074
Cuenca;FRAUDE INFORMÁTICO;2019;919
Cuenca;FRAUDE INFORMÁTICO;2018;491
Cuenca;FRAUDE INFORMÁTICO;2017;339
Cuenca;FRAUDE INFORMÁTICO;2016;196
Cuenca;FRAUDE INFORMÁTICO;2015;162
Cuenca;FRAUDE INFORMÁTICO;2014;148
Cuenca;FRAUDE INFORMÁTICO;2013;105
Cuenca;FRAUDE INFORMÁTICO;2012;85
Cuenca;FRAUDE INFORMÁTICO;2011;69
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;8
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;13
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;14
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;11
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;5
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;14
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;5
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;8
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;7
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;3
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;1
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;0
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;1
Cuenca;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;0
Cuenca;TOTAL grupo penal;2024;1.490
Cuenca;TOTAL grupo penal;2023;1.707
Cuenca;TOTAL grupo penal;2022;1.579
Cuenca;TOTAL grupo penal;2021;1.334
Cuenca;TOTAL grupo penal;2020;1.249
Cuenca;TOTAL grupo penal;2019;1.055
Cuenca;TOTAL grupo penal;2018;620
Cuenca;TOTAL grupo penal;2017;464
Cuenca;TOTAL grupo penal;2016;301
Cuenca;TOTAL grupo penal;2015;276
Cuenca;TOTAL grupo penal;2014;246
Cuenca;TOTAL grupo penal;2013;183
Cuenca;TOTAL grupo penal;2012;162
Cuenca;TOTAL grupo penal;2011;122
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;77
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;118
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;120
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;89
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;45
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;47
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;36
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;47
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;40
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;49
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;5
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;0
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;1
Girona;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;4
Girona;AMENAZAS Y COACCIONES;2024;95
Girona;AMENAZAS Y COACCIONES;2023;64
Girona;AMENAZAS Y COACCIONES;2022;75
Girona;AMENAZAS Y COACCIONES;2021;103
Girona;AMENAZAS Y COACCIONES;2020;43
Girona;AMENAZAS Y COACCIONES;2019;53
Girona;AMENAZAS Y COACCIONES;2018;64
Girona;AMENAZAS Y COACCIONES;2017;38
Girona;AMENAZAS Y COACCIONES;2016;47
Girona;AMENAZAS Y COACCIONES;2015;46
Girona;AMENAZAS Y COACCIONES;2014;4
Girona;AMENAZAS Y COACCIONES;2013;1
Girona;AMENAZAS Y COACCIONES;2012;5
Girona;AMENAZAS Y COACCIONES;2011;0
Girona;CONTRA EL HONOR;2024;1
Girona;CONTRA EL HONOR;2023;2
Girona;CONTRA EL HONOR;2022;1
Girona;CONTRA EL HONOR;2021;3
Girona;CONTRA EL HONOR;2020;3
Girona;CONTRA EL HONOR;2019;7
Girona;CONTRA EL HONOR;2018;8
Girona;CONTRA EL HONOR;2017;7
Girona;CONTRA EL HONOR;2016;5
Girona;CONTRA EL HONOR;2015;15
Girona;CONTRA EL HONOR;2014;2
Girona;CONTRA EL HONOR;2013;3
Girona;CONTRA EL HONOR;2012;1
Girona;CONTRA EL HONOR;2011;1
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;3
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;0
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;2
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;1
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;1
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;1
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;0
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;1
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;0
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;2
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;1
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;2
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;1
Girona;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;4
Girona;DELITOS SEXUALES;2024;15
Girona;DELITOS SEXUALES;2023;12
Girona;DELITOS SEXUALES;2022;11
Girona;DELITOS SEXUALES;2021;4
Girona;DELITOS SEXUALES;2020;11
Girona;DELITOS SEXUALES;2019;16
