Provincias;Grupo penal;periodo;Total
Total Nacional;FRAUDE INFORMÁTICO;2013;26.664
Total Nacional;FRAUDE INFORMÁTICO;2012;27.231
Total Nacional;FRAUDE INFORMÁTICO;2011;21.075
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;1.917
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;1.741
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;1.662
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;2.138
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;1.590
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;1.473
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;1.192
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;1.291
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;1.336
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;1.193
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;440
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;359
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;298
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;228
Total Nacional;TOTAL grupo penal;2024;464.801
Total Nacional;TOTAL grupo penal;2023;472.260
Total Nacional;TOTAL grupo penal;2022;374.737
Total Nacional;TOTAL grupo penal;2021;305.477
Total Nacional;TOTAL grupo penal;2020;287.963
Total Nacional;TOTAL grupo penal;2019;218.302
Total Nacional;TOTAL grupo penal;2018;160.729
Total Nacional;TOTAL grupo penal;2017;117.399
Total Nacional;TOTAL grupo penal;2016;92.716
Total Nacional;TOTAL grupo penal;2015;83.058
Total Nacional;TOTAL grupo penal;2014;49.935
Total Nacional;TOTAL grupo penal;2013;42.403
Total Nacional;TOTAL grupo penal;2012;42.812
Total Nacional;TOTAL grupo penal;2011;37.412
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;32
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;49
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;38
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;44
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;24
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;28
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;27
