Provincias;Grupo penal;Poblacion_Provincial;periodo;Tasa_Predicha_2025;Hechos_Predichos_2025
asturias;contra_el_honor;1015128;2025;0.02535814419388771;26.0
asturias;contra_la_propiedad_industrial/intelectual;1015128;2025;0.007186634931713343;7.0
asturias;delitos_sexuales;1015128;2025;0.025920236483216286;26.0
asturias;falsificacion_informatica;1015128;2025;0.31284329295158386;318.0
asturias;interferencia_en_los_datos_y_en_el_sistema;1015128;2025;0.05413050949573517;55.0
avila;acceso__e_interceptacion_ilicita;160738;2025;0.09159895777702332;15.0
avila;amenazas_y_coacciones;160738;2025;0.2621767222881317;42.0
avila;contra_el_honor;160738;2025;0.04674578085541725;8.0
avila;contra_la_propiedad_industrial/intelectual;160738;2025;0.0013582034735009074;0.0
avila;delitos_sexuales;160738;2025;0.028089284896850586;5.0
avila;falsificacion_informatica;160738;2025;0.45819923281669617;74.0
avila;interferencia_en_los_datos_y_en_el_sistema;160738;2025;0.016946248710155487;3.0
badajoz;acceso__e_interceptacion_ilicita;665155;2025;0.2521185278892517;168.0
badajoz;amenazas_y_coacciones;665155;2025;0.5453430414199829;363.0
badajoz;contra_el_honor;665155;2025;0.06493406742811203;43.0
badajoz;contra_la_propiedad_industrial/intelectual;665155;2025;0.0021174331195652485;1.0
badajoz;delitos_sexuales;665155;2025;0.040205344557762146;27.0
badajoz;falsificacion_informatica;665155;2025;1.0571727752685547;703.0
badajoz;interferencia_en_los_datos_y_en_el_sistema;665155;2025;0.02566739171743393;17.0
balears;acceso__e_interceptacion_ilicita;1249844;2025;0.19222359359264374;240.0
balears;amenazas_y_coacciones;1249844;2025;0.49399492144584656;617.0
balears;contra_el_honor;1249844;2025;0.019281398504972458;24.0
balears;contra_la_propiedad_industrial/intelectual;1249844;2025;0.0018546230858191848;2.0
balears;delitos_sexuales;1249844;2025;0.040517162531614304;51.0
balears;falsificacion_informatica;1249844;2025;0.36697566509246826;459.0
balears;interferencia_en_los_datos_y_en_el_sistema;1249844;2025;0.030860427767038345;39.0
barcelona;acceso__e_interceptacion_ilicita;5959941;2025;0.09068616479635239;540.0
barcelona;amenazas_y_coacciones;5959941;2025;0.11989185959100723;715.0
barcelona;contra_el_honor;5959941;2025;0.0031054457649588585;19.0
barcelona;contra_la_propiedad_industrial/intelectual;5959941;2025;0.003792328992858529;23.0
barcelona;delitos_sexuales;5959941;2025;0.024287838488817215;145.0
barcelona;falsificacion_informatica;5959941;2025;0.206938698887825;1233.0
barcelona;interferencia_en_los_datos_y_en_el_sistema;5959941;2025;0.010599267669022083;63.0
bizkaia;acceso__e_interceptacion_ilicita;1167233;2025;0.1414836347103119;165.0
bizkaia;amenazas_y_coacciones;1167233;2025;0.5354533791542053;625.0
bizkaia;contra_el_honor;1167233;2025;0.004425428807735443;5.0
bizkaia;contra_la_propiedad_industrial/intelectual;1167233;2025;0.007091154344379902;8.0
bizkaia;delitos_sexuales;1167233;2025;0.030076319351792336;35.0
bizkaia;falsificacion_informatica;1167233;2025;0.49635493755340576;579.0
bizkaia;interferencia_en_los_datos_y_en_el_sistema;1167233;2025;0.0086510656401515;10.0
burgos;acceso__e_interceptacion_ilicita;362663;2025;0.1807861328125;66.0
burgos;amenazas_y_coacciones;362663;2025;0.3786826729774475;137.0
burgos;contra_el_honor;362663;2025;0.008146441541612148;3.0
burgos;contra_la_propiedad_industrial/intelectual;362663;2025;0.0012179079931229353;0.0
burgos;delitos_sexuales;362663;2025;0.03092680685222149;11.0
burgos;falsificacion_informatica;362663;2025;0.37789052724838257;137.0
burgos;interferencia_en_los_datos_y_en_el_sistema;362663;2025;0.03872012346982956;14.0
caceres;acceso__e_interceptacion_ilicita;388190;2025;0.25786447525024414;100.0
caceres;amenazas_y_coacciones;388190;2025;0.44198983907699585;172.0
caceres;contra_el_honor;388190;2025;0.08725489675998688;34.0
caceres;contra_la_propiedad_industrial/intelectual;388190;2025;0.002388712717220187;1.0
caceres;delitos_sexuales;388190;2025;0.028203869238495827;11.0
caceres;falsificacion_informatica;388190;2025;1.0719572305679321;416.0
caceres;interferencia_en_los_datos_y_en_el_sistema;388190;2025;0.00851819384843111;3.0
cadiz;acceso__e_interceptacion_ilicita;1261420;2025;0.29686084389686584;374.0
cadiz;amenazas_y_coacciones;1261420;2025;0.4890097975730896;617.0
cadiz;contra_el_honor;1261420;2025;0.044675931334495544;56.0
cadiz;contra_la_propiedad_industrial/intelectual;1261420;2025;0.003757342929020524;5.0
cadiz;delitos_sexuales;1261420;2025;0.0385962650179863;49.0
cadiz;falsificacion_informatica;1261420;2025;0.5437978506088257;686.0
cadiz;interferencia_en_los_datos_y_en_el_sistema;1261420;2025;0.031742289662361145;40.0
cantabria;acceso__e_interceptacion_ilicita;593623;2025;0.38456323742866516;228.0
cantabria;amenazas_y_coacciones;593623;2025;0.4207049608230591;250.0
cantabria;contra_el_honor;593623;2025;0.019139770418405533;11.0
cantabria;contra_la_propiedad_industrial/intelectual;593623;2025;0.0121375173330307;7.0
cantabria;delitos_sexuales;593623;2025;0.04788342863321304;28.0
cantabria;falsificacion_informatica;593623;2025;0.3857593238353729;229.0
cantabria;interferencia_en_los_datos_y_en_el_sistema;593623;2025;0.0661548301577568;39.0
castellon;acceso__e_interceptacion_ilicita;627620;2025;0.2267039567232132;142.0
castellon;amenazas_y_coacciones;627620;2025;0.3358052372932434;211.0
castellon;contra_el_honor;627620;2025;0.011044339276850224;7.0
castellon;contra_la_propiedad_industrial/intelectual;627620;2025;0.0009272390743717551;1.0
castellon;delitos_sexuales;627620;2025;0.020623719319701195;13.0
castellon;falsificacion_informatica;627620;2025;0.35648003220558167;224.0
castellon;interferencia_en_los_datos_y_en_el_sistema;627620;2025;0.020370876416563988;13.0
ceuta;acceso__e_interceptacion_ilicita;83567;2025;0.2710629999637604;23.0
ceuta;amenazas_y_coacciones;83567;2025;0.4941510558128357;41.0
ceuta;contra_el_honor;83567;2025;0.012292823754251003;1.0
ceuta;contra_la_propiedad_industrial/intelectual;83567;2025;-0.000984845799393952;-0.0
ceuta;delitos_sexuales;83567;2025;0.06950699537992477;6.0
ceuta;falsificacion_informatica;83567;2025;0.2835417687892914;24.0
ceuta;interferencia_en_los_datos_y_en_el_sistema;83567;2025;0.038364432752132416;3.0
ciudad_real;acceso__e_interceptacion_ilicita;494848;2025;0.07531469315290451;37.0
ciudad_real;amenazas_y_coacciones;494848;2025;0.25007086992263794;124.0
ciudad_real;contra_el_honor;494848;2025;0.022264454513788223;11.0
ciudad_real;contra_la_propiedad_industrial/intelectual;494848;2025;0.0001276276889257133;0.0
ciudad_real;delitos_sexuales;494848;2025;0.007527991198003292;4.0
ciudad_real;falsificacion_informatica;494848;2025;0.3575035035610199;177.0
ciudad_real;interferencia_en_los_datos_y_en_el_sistema;494848;2025;0.03259110078215599;16.0
cordoba;acceso__e_interceptacion_ilicita;773163;2025;0.29208895564079285;226.0
cordoba;amenazas_y_coacciones;773163;2025;0.362253874540329;280.0
cordoba;contra_el_honor;773163;2025;0.02535814419388771;20.0
cordoba;contra_la_propiedad_industrial/intelectual;773163;2025;0.003628011327236891;3.0
cordoba;delitos_sexuales;773163;2025;0.03092680685222149;24.0
cordoba;falsificacion_informatica;773163;2025;0.529407262802124;409.0
cordoba;interferencia_en_los_datos_y_en_el_sistema;773163;2025;0.04093630611896515;32.0
coruna;acceso__e_interceptacion_ilicita;1135623;2025;0.29405179619789124;334.0
coruna;amenazas_y_coacciones;1135623;2025;0.43954843282699585;499.0
coruna;contra_el_honor;1135623;2025;0.057982876896858215;66.0
coruna;contra_la_propiedad_industrial/intelectual;1135623;2025;0.00175223289988935;2.0
coruna;delitos_sexuales;1135623;2025;0.03422284871339798;39.0
coruna;falsificacion_informatica;1135623;2025;0.5089743137359619;578.0
coruna;interferencia_en_los_datos_y_en_el_sistema;1135623;2025;0.03854496404528618;44.0
cuenca;acceso__e_interceptacion_ilicita;199859;2025;0.08281153440475464;17.0
cuenca;amenazas_y_coacciones;199859;2025;0.35915103554725647;72.0
cuenca;contra_el_honor;199859;2025;0.03691780939698219;7.0
cuenca;contra_la_propiedad_industrial/intelectual;199859;2025;-0.00030265815439634025;-0.0
cuenca;delitos_sexuales;199859;2025;0.03691780939698219;7.0
cuenca;falsificacion_informatica;199859;2025;0.4405551850795746;88.0
cuenca;interferencia_en_los_datos_y_en_el_sistema;199859;2025;0.042841337621212006;9.0
gipuzkoa;acceso__e_interceptacion_ilicita;733149;2025;0.09695085138082504;71.0
gipuzkoa;amenazas_y_coacciones;733149;2025;0.6191731095314026;454.0
gipuzkoa;contra_el_honor;733149;2025;0.002328051719814539;2.0
gipuzkoa;contra_la_propiedad_industrial/intelectual;733149;2025;0.006376784760504961;5.0
gipuzkoa;delitos_sexuales;733149;2025;0.05278003588318825;39.0
gipuzkoa;falsificacion_informatica;733149;2025;0.36401116847991943;267.0
gipuzkoa;interferencia_en_los_datos_y_en_el_sistema;733149;2025;0.004738158080726862;3.0
girona;acceso__e_interceptacion_ilicita;830429;2025;0.09033212810754776;75.0
girona;amenazas_y_coacciones;830429;2025;0.11741917580366135;98.0
girona;contra_el_honor;830429;2025;0.001490055932663381;1.0
girona;contra_la_propiedad_industrial/intelectual;830429;2025;0.003628011327236891;3.0
girona;delitos_sexuales;830429;2025;0.016640309244394302;14.0
girona;falsificacion_informatica;830429;2025;0.1814584732055664;151.0
girona;interferencia_en_los_datos_y_en_el_sistema;830429;2025;0.007186634931713343;6.0
granada;acceso__e_interceptacion_ilicita;945797;2025;0.18663248419761658;177.0
granada;amenazas_y_coacciones;945797;2025;0.5405784249305725;511.0
granada;contra_el_honor;945797;2025;0.027093028649687767;26.0
granada;contra_la_propiedad_industrial/intelectual;945797;2025;0.006636106409132481;6.0
granada;delitos_sexuales;945797;2025;0.02294938825070858;22.0
granada;falsificacion_informatica;945797;2025;0.43065398931503296;407.0
granada;interferencia_en_los_datos_y_en_el_sistema;945797;2025;0.07644396275281906;72.0
guadalajara;acceso__e_interceptacion_ilicita;285839;2025;0.08408517390489578;24.0
guadalajara;amenazas_y_coacciones;285839;2025;0.2763669192790985;79.0
guadalajara;contra_el_honor;285839;2025;0.012660309672355652;4.0
guadalajara;contra_la_propiedad_industrial/intelectual;285839;2025;0.0009582014172337949;0.0
guadalajara;delitos_sexuales;285839;2025;0.033849142491817474;10.0
guadalajara;falsificacion_informatica;285839;2025;0.5047398805618286;144.0
guadalajara;interferencia_en_los_datos_y_en_el_sistema;285839;2025;0.03039880096912384;9.0
huelva;acceso__e_interceptacion_ilicita;538789;2025;0.18871119618415833;102.0
huelva;amenazas_y_coacciones;538789;2025;0.29968032240867615;161.0
huelva;contra_el_honor;538789;2025;0.029707862064242363;16.0
huelva;contra_la_propiedad_industrial/intelectual;538789;2025;0.0055661192163825035;3.0
huelva;delitos_sexuales;538789;2025;0.04403950646519661;24.0
huelva;falsificacion_informatica;538789;2025;0.3042452335357666;164.0
huelva;interferencia_en_los_datos_y_en_el_sistema;538789;2025;0.019806571304798126;11.0
huesca;acceso__e_interceptacion_ilicita;230087;2025;0.11066903918981552;25.0
huesca;amenazas_y_coacciones;230087;2025;0.5077508091926575;117.0
huesca;contra_el_honor;230087;2025;0.04145476967096329;10.0
huesca;contra_la_propiedad_industrial/intelectual;230087;2025;0.007027992978692055;2.0
huesca;delitos_sexuales;230087;2025;0.03643063083291054;8.0
huesca;falsificacion_informatica;230087;2025;0.4108908474445343;95.0
huesca;interferencia_en_los_datos_y_en_el_sistema;230087;2025;0.12599284946918488;29.0
jaen;acceso__e_interceptacion_ilicita;618143;2025;0.10097915679216385;62.0
jaen;amenazas_y_coacciones;618143;2025;0.30240997672080994;187.0
jaen;contra_el_honor;618143;2025;0.03996853157877922;25.0
jaen;contra_la_propiedad_industrial/intelectual;618143;2025;0.0020153222139924765;1.0
jaen;delitos_sexuales;618143;2025;0.01653819903731346;10.0
jaen;falsificacion_informatica;618143;2025;0.5639433264732361;349.0
jaen;interferencia_en_los_datos_y_en_el_sistema;618143;2025;0.01752028800547123;11.0
leon;acceso__e_interceptacion_ilicita;448030;2025;0.1565699428319931;70.0
leon;amenazas_y_coacciones;448030;2025;0.40252089500427246;180.0
leon;contra_el_honor;448030;2025;0.03823697566986084;17.0
leon;contra_la_propiedad_industrial/intelectual;448030;2025;0.020166227594017982;9.0
leon;delitos_sexuales;448030;2025;0.044857099652290344;20.0
leon;falsificacion_informatica;448030;2025;0.5061190724372864;227.0
leon;interferencia_en_los_datos_y_en_el_sistema;448030;2025;0.07729291170835495;35.0
lleida;acceso__e_interceptacion_ilicita;458226;2025;0.15451674163341522;71.0
lleida;amenazas_y_coacciones;458226;2025;0.23260851204395294;107.0
lleida;contra_el_honor;458226;2025;0.009385217912495136;4.0
lleida;contra_la_propiedad_industrial/intelectual;458226;2025;0.0012179079931229353;1.0
lleida;delitos_sexuales;458226;2025;0.02502838708460331;11.0
lleida;falsificacion_informatica;458226;2025;0.15404433012008667;71.0
lleida;interferencia_en_los_datos_y_en_el_sistema;458226;2025;0.012995533645153046;6.0
lugo;acceso__e_interceptacion_ilicita;326022;2025;0.2001189887523651;65.0
lugo;amenazas_y_coacciones;326022;2025;0.4066329002380371;133.0
lugo;contra_el_honor;326022;2025;0.029549159109592438;10.0
lugo;contra_la_propiedad_industrial/intelectual;326022;2025;0.009650124236941338;3.0
lugo;delitos_sexuales;326022;2025;0.02474961057305336;8.0
lugo;falsificacion_informatica;326022;2025;0.29217058420181274;95.0
lugo;interferencia_en_los_datos_y_en_el_sistema;326022;2025;0.041558295488357544;14.0
madrid;acceso__e_interceptacion_ilicita;7113886;2025;0.22835618257522583;1624.0
madrid;amenazas_y_coacciones;7113886;2025;0.35934123396873474;2556.0
madrid;contra_el_honor;7113886;2025;0.015120926313102245;108.0
madrid;contra_la_propiedad_industrial/intelectual;7113886;2025;0.0052271513268351555;37.0
madrid;delitos_sexuales;7113886;2025;0.0330176018178463;235.0
madrid;falsificacion_informatica;7113886;2025;0.4689968526363373;3336.0
madrid;interferencia_en_los_datos_y_en_el_sistema;7113886;2025;0.055934857577085495;398.0
malaga;acceso__e_interceptacion_ilicita;1791183;2025;0.3540932834148407;634.0
malaga;amenazas_y_coacciones;1791183;2025;0.3641687333583832;652.0
malaga;contra_el_honor;1791183;2025;0.02721434086561203;49.0
malaga;contra_la_propiedad_industrial/intelectual;1791183;2025;0.013559943996369839;24.0
malaga;delitos_sexuales;1791183;2025;0.03819179907441139;68.0
malaga;falsificacion_informatica;1791183;2025;0.38566434383392334;691.0
malaga;interferencia_en_los_datos_y_en_el_sistema;1791183;2025;0.0665193423628807;119.0
melilla;acceso__e_interceptacion_ilicita;87067;2025;0.434889554977417;38.0
melilla;amenazas_y_coacciones;87067;2025;0.4640622138977051;40.0
melilla;contra_el_honor;87067;2025;0.11580940335988998;10.0
melilla;contra_la_propiedad_industrial/intelectual;87067;2025;-0.000984845799393952;-0.0
melilla;delitos_sexuales;87067;2025;0.046376753598451614;4.0
melilla;falsificacion_informatica;87067;2025;0.06535740941762924;6.0
melilla;interferencia_en_los_datos_y_en_el_sistema;87067;2025;0.012292823754251003;1.0
murcia;acceso__e_interceptacion_ilicita;1586989;2025;0.1901911348104477;302.0
murcia;amenazas_y_coacciones;1586989;2025;0.2670447826385498;424.0
murcia;contra_el_honor;1586989;2025;0.023432794958353043;37.0
murcia;contra_la_propiedad_industrial/intelectual;1586989;2025;0.004798011854290962;8.0
murcia;delitos_sexuales;1586989;2025;0.07511845231056213;119.0
murcia;falsificacion_informatica;1586989;2025;0.5516870021820068;876.0
murcia;interferencia_en_los_datos_y_en_el_sistema;1586989;2025;0.03020147979259491;48.0
navarra;acceso__e_interceptacion_ilicita;683854;2025;0.2658623158931732;182.0
navarra;amenazas_y_coacciones;683854;2025;0.4875452518463135;333.0
navarra;contra_el_honor;683854;2025;0.039635151624679565;27.0
navarra;contra_la_propiedad_industrial/intelectual;683854;2025;0.0032553700730204582;2.0
navarra;delitos_sexuales;683854;2025;0.07185350358486176;49.0
navarra;falsificacion_informatica;683854;2025;0.409456729888916;280.0
navarra;interferencia_en_los_datos_y_en_el_sistema;683854;2025;0.03142055496573448;21.0
