Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;codigo_ine;Total_Provincial;Peso_Tipologia;Peso_Fraude;VAR_pct
albacete;falsificacion_informatica;2023;111;389070;Castilla-La Mancha;0.2853;02;3616;3.0696902654867255;;42.307692307692314
albacete;falsificacion_informatica;2024;143;390751;Castilla-La Mancha;0.366;02;3492;4.095074455899198;;28.828828828828822
albacete;fraude_informatico;2022;2966;387529;Castilla-La Mancha;7.6536;02;3308;89.66142684401451;89.66142684401451;
albacete;fraude_informatico;2023;3229;389070;Castilla-La Mancha;8.2993;02;3616;89.29756637168141;89.29756637168141;8.867161159811188
albacete;fraude_informatico;2024;3012;390751;Castilla-La Mancha;7.7082;02;3492;86.25429553264605;86.25429553264605;-6.720346856611958
albacete;interferencia_en_los_datos_y_en_el_sistema;2022;27;387529;Castilla-La Mancha;0.0697;02;3308;0.8162031438935914;;
albacete;interferencia_en_los_datos_y_en_el_sistema;2023;36;389070;Castilla-La Mancha;0.0925;02;3616;0.995575221238938;;33.33333333333333
albacete;interferencia_en_los_datos_y_en_el_sistema;2024;64;390751;Castilla-La Mancha;0.1638;02;3492;1.8327605956471937;;77.77777777777777
alicante;acceso__e_interceptacion_ilicita;2022;198;1955268;C. Valenciana;0.1013;03;13075;1.51434034416826;;
alicante;acceso__e_interceptacion_ilicita;2023;318;1993289;C. Valenciana;0.1595;03;17910;1.7755443886097153;;60.606060606060595
alicante;acceso__e_interceptacion_ilicita;2024;405;2033566;C. Valenciana;0.1992;03;17913;2.2609278177859653;;27.35849056603774
alicante;amenazas_y_coacciones;2022;713;1955268;C. Valenciana;0.3647;03;13075;5.453154875717018;;
alicante;amenazas_y_coacciones;2023;853;1993289;C. Valenciana;0.4279;03;17910;4.762702400893356;;19.635343618513335
alicante;amenazas_y_coacciones;2024;890;2033566;C. Valenciana;0.4377;03;17913;4.96845866130743;;4.337631887456039
alicante;contra_el_honor;2022;45;1955268;C. Valenciana;0.023;03;13075;0.3441682600382409;;
alicante;contra_el_honor;2023;41;1993289;C. Valenciana;0.0206;03;17910;0.22892238972640985;;-8.888888888888891
alicante;contra_el_honor;2024;38;2033566;C. Valenciana;0.0187;03;17913;0.2121364372243622;;-7.317073170731703
alicante;contra_la_propiedad_industrial/intelectual;2022;7;1955268;C. Valenciana;0.0036;03;13075;0.05353728489483748;;
alicante;contra_la_propiedad_industrial/intelectual;2023;10;1993289;C. Valenciana;0.005;03;17910;0.05583472920156338;;42.85714285714286
alicante;contra_la_propiedad_industrial/intelectual;2024;20;2033566;C. Valenciana;0.0098;03;17913;0.11165075643387483;;100.0
alicante;delitos_sexuales;2022;95;1955268;C. Valenciana;0.0486;03;13075;0.7265774378585086;;
alicante;delitos_sexuales;2023;84;1993289;C. Valenciana;0.0421;03;17910;0.46901172529313234;;-11.578947368421055
alicante;delitos_sexuales;2024;85;2033566;C. Valenciana;0.0418;03;17913;0.47451571484396804;;1.1904761904761862
alicante;falsificacion_informatica;2022;628;1955268;C. Valenciana;0.3212;03;13075;4.803059273422562;;
alicante;falsificacion_informatica;2023;763;1993289;C. Valenciana;0.3828;03;17910;4.2601898380792855;;21.496815286624194
alicante;falsificacion_informatica;2024;945;2033566;C. Valenciana;0.4647;03;17913;5.275498241500586;;23.853211009174302
alicante;fraude_informatico;2022;11280;1955268;C. Valenciana;5.769;03;13075;86.27151051625239;86.27151051625239;
alicante;fraude_informatico;2023;15789;1993289;C. Valenciana;7.9211;03;17910;88.1574539363484;88.1574539363484;39.973404255319146
alicante;fraude_informatico;2024;15484;2033566;C. Valenciana;7.6142;03;17913;86.44001563110591;86.44001563110591;-1.9317246184052173
alicante;interferencia_en_los_datos_y_en_el_sistema;2022;109;1955268;C. Valenciana;0.0557;03;13075;0.8336520076481835;;
alicante;interferencia_en_los_datos_y_en_el_sistema;2023;52;1993289;C. Valenciana;0.0261;03;17910;0.29034059184812955;;-52.293577981651374
alicante;interferencia_en_los_datos_y_en_el_sistema;2024;46;2033566;C. Valenciana;0.0226;03;17913;0.2567967397979121;;-11.538461538461542
almeria;acceso__e_interceptacion_ilicita;2022;39;753364;Andalucía;0.0518;04;3483;1.119724375538329;;
almeria;acceso__e_interceptacion_ilicita;2023;87;760964;Andalucía;0.1143;04;4977;1.7480409885473176;;123.07692307692308
almeria;acceso__e_interceptacion_ilicita;2024;140;770554;Andalucía;0.1817;04;5924;2.363268062120189;;60.91954022988506
almeria;amenazas_y_coacciones;2022;207;753364;Andalucía;0.2748;04;3483;5.943152454780361;;
almeria;amenazas_y_coacciones;2023;243;760964;Andalucía;0.3193;04;4977;4.882459312839059;;17.391304347826097
almeria;amenazas_y_coacciones;2024;284;770554;Andalucía;0.3686;04;5924;4.794058068872384;;16.872427983539097
almeria;contra_el_honor;2022;11;753364;Andalucía;0.0146;04;3483;0.3158196956646569;;
almeria;contra_el_honor;2023;8;760964;Andalucía;0.0105;04;4977;0.16073940124573036;;-27.27272727272727
almeria;contra_el_honor;2024;19;770554;Andalucía;0.0247;04;5924;0.32072923700202566;;137.5
almeria;contra_la_propiedad_industrial/intelectual;2022;0;753364;Andalucía;0.0;04;3483;0.0;;
almeria;contra_la_propiedad_industrial/intelectual;2023;1;760964;Andalucía;0.0013;04;4977;0.020092425155716295;;inf
almeria;contra_la_propiedad_industrial/intelectual;2024;3;770554;Andalucía;0.0039;04;5924;0.05064145847400405;;200.0
almeria;delitos_sexuales;2022;48;753364;Andalucía;0.0637;04;3483;1.3781223083548666;;
almeria;delitos_sexuales;2023;51;760964;Andalucía;0.067;04;4977;1.024713682941531;;6.25
almeria;delitos_sexuales;2024;25;770554;Andalucía;0.0324;04;5924;0.4220121539500338;;-50.98039215686274
almeria;falsificacion_informatica;2022;127;753364;Andalucía;0.1686;04;3483;3.646281940855584;;
almeria;falsificacion_informatica;2023;155;760964;Andalucía;0.2037;04;4977;3.1143258991360256;;22.047244094488192
almeria;falsificacion_informatica;2024;214;770554;Andalucía;0.2777;04;5924;3.6124240378122887;;38.064516129032256
almeria;fraude_informatico;2022;3041;753364;Andalucía;4.0366;04;3483;87.3097904105656;87.3097904105656;
almeria;fraude_informatico;2023;4414;760964;Andalucía;5.8005;04;4977;88.68796463733173;88.68796463733173;45.149621834922726
almeria;fraude_informatico;2024;5226;770554;Andalucía;6.7821;04;5924;88.21742066171507;88.21742066171507;18.396012686905294
almeria;interferencia_en_los_datos_y_en_el_sistema;2022;10;753364;Andalucía;0.0133;04;3483;0.2871088142405972;;
almeria;interferencia_en_los_datos_y_en_el_sistema;2023;18;760964;Andalucía;0.0237;04;4977;0.3616636528028933;;80.0
almeria;interferencia_en_los_datos_y_en_el_sistema;2024;13;770554;Andalucía;0.0169;04;5924;0.21944632005401754;;-27.77777777777778
araba;acceso__e_interceptacion_ilicita;2022;38;336308;País Vasco;0.113;01;3561;1.0671159786576805;;
